"Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15","Factor16","Factor17","Factor18","Factor19"
0.494134278539458,-3.17265678728173,-0.000390552494627466,-0.000636217117325556,-0.00335392362582027,-0.000900729137096291,-0.000186045192842181,0.00142364273556034,-0.00126206957698712,0.000315342501991506,-0.000187145266542033,-5.14922587080173e-05,-6.31869948170531e-05,0.000261909190428849,0.000373720264475452,-0.000177466306267384,-3.26095846730699e-05,7.71302298004095e-05,-3.54082897942091e-06
0.00500610450483238,0.000939712605017512,0.000795625997984609,0.000125100858798174,0.00120237632057043,-0.000562113939756499,-0.000420940918556046,-4.48877739837283e-05,0.000944398772476577,-0.000442323078657951,-6.23044587792127e-06,0.000325722706670595,-0.000882631991262713,-0.000388504453057538,-0.00032688635409282,-4.2814337829785e-05,-4.21849462684996e-05,0.000296411040970516,-5.04829133172474e-05
-0.546354216830582,3.06656440388382,-0.000389573155044237,0.000589929068403842,0.000587629472754434,0.00274218493734654,0.00110499202487061,-0.00145875269790447,0.000236194006260276,0.000117000090496944,0.000218994831161396,-0.000315607319316794,0.000996220704094765,0.000107635537557296,-5.11781866586278e-05,0.000216079082053009,8.75490349754878e-05,-0.000382487508889942,3.99938138684542e-05
0.0424311493791521,-1.45863719333764,0.000604631384875073,0.00236769890660912,-0.00217895753876691,0.0068943674824414,0.00196168513454746,-0.000467343842210328,-0.00184268199844014,0.000826080176558774,0.000709234184421431,-0.00109908068851447,0.000578781021684822,-0.000986947013866274,0.00194727901376739,0.000425684001717808,0.0018030921024791,-0.000446802836600914,-0.000212591233925705
0.0381300500679041,-0.0276864744182395,-9.5233689882051e-06,-0.000219315862753767,0.00103114860990196,-0.0226394317093963,-0.0105163091906542,-0.00077262148732975,0.00195545068169358,-0.000506173959812647,0.000172221747570287,0.00089482000708305,-0.00293921140756151,0.00117317874816728,-0.00239202052817445,-0.000643001486343596,-0.00121480552196685,0.00132905160933488,0.000275132703472522
-0.165999900195069,1.58576563331055,-0.000386905727327271,-0.00183873465018425,0.000584594608039497,0.00118294039191957,0.00229901833058087,0.00122641636553942,-0.000546322394338905,-0.000326972973323892,-0.000727297840727321,0.00015347512500642,0.00221997814149783,-0.000218860246257521,0.000629535807704848,0.000177785010798969,-0.000476254758672692,-0.000696302131702292,-0.000144259240576978
0.317217691660534,-0.67662586682904,-0.000131297487810339,-0.000413583696574907,-0.48748453249727,1.50860588590445,1.6340605863365,-0.00162200074678446,0.00132655705426303,-0.000272325383909486,0.000230231583601298,-0.000495668330040584,-0.00061234944781289,-0.000204120776685473,-0.00033232847959304,-0.000315033969567691,0.00105187499915759,0.000189342172720194,-0.000486659141668743
-0.199623855628545,-0.00288151115780981,-0.000644882127043584,-3.62189081257921e-05,0.45556611239841,-1.56320585360766,-1.72124834391783,0.00065853108436922,-0.00101136844937089,0.000182105430908472,0.00031151778294448,-0.000118092213876828,-0.000782444593051645,-3.79547762657882e-05,0.000590026008843014,0.00028724862803577,-0.000949830097431496,-2.24346513824797e-05,-0.000244090309092673
-0.0256428221503925,0.403439229118674,0.000741400273848404,0.000364384211659019,1.38261042135065e-05,0.00108141286974119,0.00234890511834611,0.00152507669860208,-8.02861015041403e-06,0.000139822462078453,-0.000585127234785602,0.000650714395198972,0.00146989077093243,0.000430895299962255,-5.26919228280766e-05,-0.000137573933513135,-6.24019479301389e-05,-8.28197049890332e-05,0.000765768089552388
0.511094218216559,-3.19408677359739,-0.000179415344654841,-0.000621977377160998,-0.00287405167637426,-0.000109249212007712,-0.000128414845811066,0.000865078115686832,-0.000928510013229922,-9.57190875166414e-05,0.000119270246378855,0.000124602292883711,-0.000503118644820624,0.000138234685694985,-1.08270711108518e-05,-1.49054689564839e-05,9.53280638502839e-07,0.000266047903292346,-4.02946842919335e-05
0.00583287998654991,0.000892013666796091,0.000528530875134274,0.000108080501396036,0.000975035303376042,-0.00115742459173834,-0.000423410968651793,0.000466940377209137,0.000633952331128635,-9.66208896027575e-05,-0.000232139765464538,0.000151208808082601,-0.000623010063948177,-0.000284919329735633,1.60280726356277e-05,-0.000211073069950787,-7.31243239743495e-05,0.000225734775129625,-1.04387455414282e-05
-0.572880339821364,3.0869757628458,-0.00032437918847662,0.000602999923780709,0.000690533794533828,0.00280622422244508,0.00102770222243919,-0.0014794417623035,0.00023359366818673,0.000168863877748271,0.000147400039955112,-0.000318410931130112,0.00115331880932004,0.000120115069062218,-2.79771468285501e-05,0.000222475670534541,8.89134946264266e-05,-0.000498145924493816,3.2314021936257e-05
0.267400327285449,-0.678015963180398,-0.000799752678759864,-4.17596584722447e-05,-0.00330746901850046,1.46764642904101,1.67785895309702,-0.000849879469443113,0.000279835488275096,-0.000762382174954678,0.000858718735550533,8.21182585478247e-05,0.00162400231538661,0.00100432455210217,0.00027508463218344,-0.000336306702194139,-0.00060544659333921,-7.74865417852554e-05,-2.80971715127514e-05
-0.150201242324943,-0.00648755476450733,-5.0182686557987e-05,-0.000966770339576296,0.00113364961170194,-1.53568451462677,-1.78320695554426,8.23445217021326e-05,5.51184485894144e-05,0.000623684326729623,-0.000537678119540003,-0.000820597487530001,-0.00274199911429762,-0.00123743360987337,-0.000138603325916301,0.000460002976531266,0.000717464455872016,0.000532534348350535,-0.000535772960028647
-0.0241992738048245,0.427978834494184,0.00085801012638183,0.000967649500940374,0.000334404456453225,0.00100854860055089,0.00243224180656135,0.00149713946015304,-0.000297901576883094,0.000208361826267702,-0.000361487913518301,0.000842367118826433,0.00116812708692802,0.000362902319342243,5.65426348507759e-05,-0.00029064703202981,-5.74679851352104e-05,-0.000377273975663938,0.000597664013158648
